Title;AuthorID;PushIsherID;Pages;Dimension;Translator;Overview;InventoryQuantity;SalePrice;PublishedDate;isHidden
Below Zero (2022);Ali Hazelwood;Hachette UK;147;22.70x14.07x1.79 cm;;From the New York Times and Sunday Times bestselling author of The Love Hypothesis comes a new steamy, STEMinist novella... It will take the frosty terrain of the Arctic to show these rival scientists that their chemistry burns hot. Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn... Hannah's got a bad feeling about this. Not only has the NASA aerospace engineer found herself injured and stranded at a remote Arctic research station-but the one person willing to undertake the hazardous rescue mission is her longtime rival. Ian has been many things to Hannah: the villain who tried to veto her expedition and ruin her career, the man who stars in her most deliciously lurid dreams... but he's never played the hero. So why is he risking everything to be here? And why does his presence seem just as dangerous to her heart as the coming snowstorm? To read Mara and Sadie's stories look for the novellas Under One Roof and Stuck with You. Ali Hazelwood's latest novel, Love on the Brain is out now.;45;7.61;2005-07-22;false
The Two Towers [Tv Tie-In]: The Lord of the Rings Part Two (2022);J. R. R. Tolkien;HarperCollins;352;24.70x15.28x1.80 cm;;"Begin your journey into Middle-earth. The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power. The Two Towers is the second part of J.R.R. Tolkien's epic adventure The Lord of the Rings. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them. Frodo and his Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in a battle in the Mines of Moria. And Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape, the rest of the company was attacked by Orcs. Now they continue the journey alone down the great River Anduin--alone, that is, save for the mysterious creeping figure that follows wherever they go. ""Among the greatest works of imaginative fiction of the twentieth century. The book presents us with the richest profusion of new lands and creatures, from the beauty of Lothlórien to the horror of Mordor.""-Sunday Telegraph";4;11.49;2005-07-22;false
Murder, She Said: The Quotable Miss Marple (2019);Agatha Christie;HarperCollins;160;22.95x16.56x1.65 cm;;Did you know that one of the world’s sharpest and most forensic minds inhabited the persona of an attractive old lady, with pink cheeks and blue eyes, and a gentle, rather fussy manner? Discover the secrets of Miss Marple in this gorgeous book of her quotes and sayings, and an essay by Agatha Christie appearing for the first time in any book!;42;7.77;2005-09-19;false
Disney Junior Mickey: Mickey's Wish Upon a Christmas (2023);Disney Books;Penguin Random House;0;23.26x15.15x2.15 cm;;When Mickey's friends get separated, the lovable mouse wishes on the Christmas Star for the gang to all spend the holidays together in this festive storybook that relives the Disney Junior Christmas special. Every Christmas, Mickey, Minnie, and all of their friends get together to celebrate the holiday and share the traditions they all love. But this year, they all get separated from each other in various locations around the world. It's a wild rush to get back home to Hot Dog Hills on Christmas Eve. Despite all the bumps in the road they each encounter, Mickey wishes upon the Christmas Wishing Star, hoping that they'll all be together this year. And, with the special help of Santa, their wish comes true.;42;11.88;2005-09-23;false
My First Disney Classics: A Christmas Carol (2023);Disney Books;Penguin Random House;0;22.53x16.18x2.47 cm;;Introduce your little one to this timeless classic about the true spirit of Christmas alongside Mickey and his friends! This retelling of Charles Dickens's beloved Christmas classic is full of the baby-friendly faces of Mickey and his pals and baby-friendly themes, like kindess and sharing. Prompts on the page will encourage toddlers to engage with the story as they count the gold coins on Scrooge's desk or name the colors on the Christmas tree. With simple text, bright illustrations, and sturdy pages, this 24-page board book is perfect for cultivating your little one's love of literature. Consider adding these other Disney books to your collection: My First Disney Classics Bedtime Storybook My First Disney Classics The Legend of Sleepy Hollow Ariel Loves the Ocean First Word Book Twinkle, Twinkle, Little Star Say Please, Stitch!;48;7.31;2005-09-23;false
Holly (2023);Stephen King;Simon and Schuster;464;24.00x14.51x2.30 cm;;#1 New York Times Bestseller * New York Times Notable Book * NPR Best Book of the Year Holly Gibney, one of Stephen King’s most compelling and resourceful characters, returns in this chilling novel to solve the gruesome truth behind multiple disappearances in a midwestern town. “Sometimes the universe throws you a rope.” —BILL HODGES Stephen King’s Holly marks the triumphant return of beloved King character Holly Gibney. Readers have witnessed Holly’s gradual transformation from a shy (but also brave and ethical) recluse in Mr. Mercedes to Bill Hodges’s partner in Finders Keepers to a full-fledged, smart, and occasionally tough private detective in The Outsider. In King’s new novel, Holly is on her own, and up against a pair of unimaginably depraved and brilliantly disguised adversaries. When Penny Dahl calls the Finders Keepers detective agency hoping for help locating her missing daughter, Holly is reluctant to accept the case. Her partner, Pete, has Covid. Her (very complicated) mother has just died. And Holly is meant to be on leave. But something in Penny Dahl’s desperate voice makes it impossible for Holly to turn her down. Mere blocks from where Bonnie Dahl disappeared live Professors Rodney and Emily Harris. They are the picture of bourgeois respectability: married octogenarians, devoted to each other, and semi-retired lifelong academics. But they are harboring an unholy secret in the basement of their well-kept, book-lined home, one that may be related to Bonnie’s disappearance. And it will prove nearly impossible to discover what they are up to: they are savvy, they are patient, and they are ruthless. Holly must summon all her formidable talents to outthink and outmaneuver the shockingly twisted professors in this chilling new masterwork from Stephen King. “I could never let Holly Gibney go. She was supposed to be a walk-on character in Mr. Mercedes and she just kind of stole the book and stole my heart. Holly is all her.” —STEPHEN KING;10;6.84;2005-09-23;false
Chainsaw Man, Vol. 7 - In a Dream (2021);Tatsuki Fujimoto;VIZ Media LLC;201;24.77x13.30x2.17 cm;Amanda Haley;Denji’s gotten too famous! After a news program broadcasts Chainsaw Man’s heroics, the whole world now wants in on the action! Can Denji’s new protection detail keep him safe from all the talented assassins that have assembled in Japan to take him down?! -- VIZ Media;41;10.11;2005-10-21;false
Chainsaw Man, Vol. 7 (2021);Tatsuki Fujimoto;VIZ Media LLC;200;23.71x14.08x2.15 cm;Amanda Haley;Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! Denji's career as a devil hunter is really taking off! And after he appears on TV, the whole world knows about the mysterious Chainsaw Man. But that’s not all good news, considering assassins are now on their way to Japan to claim his heart! Can Denji’s team keep him safe from the world’s most dangerous killers?;3;9.49;2005-10-21;false
One Piece, Vol. 92 - Introducing Komurasaki The Oiran (2019);Eiichiro Oda;VIZ Media LLC;184;23.58x15.10x1.20 cm;;The Straw Hats are just starting to get their bearings in the mysterious samurai kingdom of Wano when Kaido makes his grand appearance as a flying dragon! Kaido is known as the strongest creature alive, so the smart move would be not to antagonize him. But since when does Luffy do the smart thing?! -- VIZ Media;4;8.99;2005-11-19;false
Pride and Prejudice (2019);Jane Austen;Oxford University Press;368;22.28x13.24x1.85 cm;;"""He began to feel the danger of paying Elizabeth too much attention."" Pride and Prejudice , one of the most famous love stories of all time, has also proven itself as a treasured mainstay of the English literary canon. With the arrival of eligible young men in their neighbourhood, the lives of Mr. and Mrs. Bennet and their five daughters are turned inside out and upside down. Pride encounters prejudice, upward-mobility confronts social disdain, and quick-wittedness challenges sagacity. Misconceptions and hasty judgements bring heartache and scandal, but eventually lead to true understanding, self-knowledge, and love. It's almost impossible to open Pride and Prejudice without feeling the pressure of so many readers having known and loved this novel already. Will you fail the test - or will you love it too? As a story that celebrates more unflinchingly than any of Austen's other novels the happy meeting-of-true-minds, and one that has attracted the most fans over the centuries, Pride and Prejudice sets up an echo chamber of good feelings in which romantic love and the love of reading amplify each other.";7;9.61;2005-11-19;false
The Ultimate Guide to TikTok (100% Unofficial) (2020);Scholastic;Scholastic Inc.;80;23.49x14.97x1.21 cm;;This is the ultimate guide to TikTok, just #foryou! From crazy challenges and dynamic duets to daring dance moves and lip-sync legends, discover the TikTok stars that make your day. Uncover all the inside info on @charlidamelio, @lilhuddy, @avani and amazing TikTok stars you should be watching RIGHT NOW. With details of their star style, their best videos, their lives outside of the app and other must-know facts, this is the ultimate insider book for everyone obsessed with all things TikTok. Packed with profiles, quizzes, fill-in fun and loads of top tips for creating your own videos, from the perfect camera angle to the best background. Be inspired to create and share your very own TikTok style - it's your time to shine!;25;11.28;2005-11-20;false
Chainsaw Man, Vol. 13 (2023);Tatsuki Fujimoto;VIZ Media LLC;185;24.04x13.80x2.09 cm;Amanda Haley;Denji is desperate to tell the world that he’s Chainsaw Man, but is he competent enough to pull off a proper reveal? Meanwhile, Asa has made a friend! But this new friendship may be hiding a dark secret. -- VIZ Media;6;6.62;2005-12-23;false
Scholastic Children's Dictionary (2019);Scholastic;Scholastic Inc.;0;22.34x16.32x1.49 cm;;An updated edition of the comprehensive dictionary created with kids in mind, featuring more than 500 new or revised entries and learning tools. Scholastic's trusted dictionary is back and filled with up-to-date information on technological, scientific, and cultural terms, hundreds of new words, and in-depth sidebars featuring new, colorful images. In addition to a kid-friendly pronunciation guide and sample sentences, the Scholastic Children's Dictionary includes a thesaurus, as well as guides to grammar, idioms, geography, and US presidents. The perfect reference guide for kids and ENL learners of all ages.;31;6.98;2006-01-19;false
One Piece, Vol. 85 - Liar (2018);Eiichiro Oda;VIZ Media LLC;187;24.36x16.18x1.52 cm;;With Sanji forced into a political marriage by his scheming family, Luffy and members of the Straw Hats enter enemy territory to try to rescue him. But up against Big Mom, an Emperor of the Sea, do they even stand a chance? -- VIZ Media;45;7.73;2006-02-18;false
Fantastic Beasts and Where to Find Them (2020);J. K. Rowling;Bloomsbury Publishing;160;23.98x13.88x1.15 cm;;This glorious paperback edition of Newt Scamander'sFantastic Beasts and Where to Find Themis considered a classic throughout the wizarding world. It features an extraordinary array of magical creatures, from Acromantula to Yeti via ten different breeds of dragon - all beautifully illustrated in full colour by the brilliantly inventive, Greenaway Medal shortlisted Olivia Lomenech Gill. Famed Magizoologist Newt Scamander's years of adventure and exploration have yielded a work of unparalleled importance, admired by scholars, devoured by young witches and wizards, and even made available to Muggles in the early years of this century. With this dazzling illustrated edition, readers can explore the magical fauna of five continents from the comfort of their own armchairs.Fantastic Beasts and Where to Find Themis essential reading at Hogwarts. Now available in a stunning paperback edition with French flaps, this edition contains all of the mesmerising illustrations from the original edition and features the fully updated 2017 text including a foreword by J.K. Rowling, writing as Newt Scamander.;14;10.92;2006-02-20;false
Scholastic Success with Reading Comprehension Grade 2 (2022);Scholastic;Scholastic Inc.;48;22.68x15.46x1.85 cm;;More than 40 ready-to-use, skill-building practice pages with easy-to-follow directions and fun, motivating exercises! Perfect for classroom or at-home use, this exciting practice book includes high-interest stories targeted to provide invaluable reinforcement and practice with reading comprehension skills. This valuable resource gives kids practice with: main idea and details following directions drawing conclusions;9;7.83;2006-02-22;false
Bride (2024);Ali Hazelwood;Hachette UK;385;22.73x16.90x1.09 cm;;A dangerous alliance between a Vampyre bride and an Alpha werewolf becomes a love deep enough to sink your teeth into in this new paranormal romance from the New York Times bestselling author of The Love Hypothesis. Misery Lark, the only daughter of the most powerful Vampyre councilman of the Southwest, is an outcast - again. Her days of living in anonymity among the Humans are over: she has been called upon to uphold an historic peacekeeping alliance between the Vampyres and their mortal enemies, the Weres, and sees little choice but to surrender herself in the exchange - again . . . Weres are ruthless and unpredictable, and their Alpha, Lowe Moreland, is no exception. He rules his pack with absolute authority, but not without justice. And, unlike the Vampyre Council, not without feeling. It's clear from the way he tracks Misery's every movement that he doesn't trust her. If only he knew how right he was . . . Because Misery has her own reasons to agree to this marriage of convenience, reasons that have nothing to do with politics or alliances, and everything to do with the only thing she's ever cared about. And she is willing to do whatever it takes to get back what's hers, even if it means a life alone in Were territory . . . alone with the wolf. Praise for The Love Hypothesis 'Contemporary romance's unicorn: the elusive marriage of deeply brainy and delightfully escapist.' Christina Lauren, New York Times bestselling author of The Unhoneymooners 'Funny, sexy and smart.' Mariana Zapata, New York Times bestselling author 'I couldn't put it down. Highly recommended!' Jessica Clare, New York Times bestselling author 'Pure slow-burning gold with lots of chemistry.' Popsugar 'A beautifully written romantic comedy with a heroine you will instantly fall in love with.' Elizabeth Everett, author of A Lady's Formula for Love;43;10.11;2006-02-24;false
Chainsaw Man, Vol. 14 (2024);Tatsuki Fujimoto;VIZ Media LLC;0;22.50x13.47x2.28 cm;Amanda Haley;Broke young man + chainsaw demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive in a harsh world. After being killed on a job, he is revived by his pet devil Pochita and becomes something new and dangerous—Chainsaw Man! Asa and Denji are going on a date to the aquarium! Asa just wants to seduce Denji to turn him into a weapon, but Denji might have other ideas. Will they ruin the date with their extreme social awkwardness, or will a surprise attack by a devil be the culprit?;28;11.26;2006-02-24;false
The Works of William Shakespeare - Vol. VI (2024);William Shakespeare;BoD – Books on Demand;718;22.28x16.92x1.62 cm;;Reprint of the original, first published in 1875.;5;8.94;2006-03-24;false
Chainsaw Man, Vol. 16 (2024);Tatsuki Fujimoto;VIZ Media LLC;0;22.95x15.21x1.41 cm;Amanda Haley;Broke young man + chainsaw demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive in a harsh world. After being killed on a job, he is revived by his pet devil Pochita and becomes something new and dangerous—Chainsaw Man! To live life as a normal high school student, or to become Chainsaw Man again? Denji is facing the ultimate choice and has no idea what to do. Meanwhile, a mysterious group called the Chainsaw Man Church is gaining power behind the scenes. What exactly are they plotting, and how will Denji fit into their scheme?;44;6.94;2006-03-24;false
One Piece, Vol. 96 - I Am Oden, And I Was Born To Boil (2021);Eiichiro Oda;VIZ Media LLC;193;22.67x15.66x1.25 cm;;During his journey with Whitebeard’s crew, Oden encounters the legendary future pirate king Gold Roger! What does their meeting mean for the world? And what has Orochi been up to while Oden was gone from Wano?! -- VIZ Media;49;6.02;2006-04-21;false
Chainsaw Man, Vol. 4 - The Gun is Mightier (2021);Tatsuki Fujimoto;VIZ Media LLC;193;23.19x13.27x1.44 cm;Amanda Haley;Devil Extermination Special Division 4 is in serious trouble as a devil has sent a whole team of assassins to take Denji’s heart. In order to survive the onslaught, Denji, Power and Aki will have to get stronger. But is Denji smart enough to learn how to control his devil powers? Can you can teach an old chainsaw-dog-devil new tricks? -- VIZ Media;6;6.51;2006-04-21;false
Chainsaw Man, Vol. 4 (2021);Tatsuki Fujimoto;VIZ Media LLC;192;22.34x16.13x1.15 cm;Amanda Haley;Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! As Denji and his team investigate the whereabouts of the Gun Devil, they’re ambushed by a coordinated attack to take them all out. Denji will have to get stronger if he wants to stay alive in this dangerous game!;22;6.53;2006-04-21;false
The Battle of Maldon - Together with the Homecoming of Beorhtnoth (2023);J. R. R. Tolkien;HarperCollins;248;23.61x16.65x1.64 cm;;"The first-ever standalone edition of one of J.R.R. Tolkien’s most important poetic dramas, that explores timely themes such as the nature of heroism and chivalry during war, featuring previously unpublished and never-before-seen texts and drafts. In 991 AD, Vikings attacked an Anglo-Saxon defense-force led by their duke, Beorhtnoth, resulting in brutal fighting along the banks of the river Blackwater, near Maldon in Essex. The attack is widely considered one of the defining conflicts of tenth-century England, due to it being immortalized in the poem, The Battle of Maldon. Written shortly after the battle, the poem now survives only as a 325-line fragment, but its value to today is incalculable, not just as a heroic tale but in vividly expressing the lost language of our ancestors and celebrating ideals of loyalty and friendship. J.R.R. Tolkien considered The Battle of Maldon “the last surviving fragment of ancient English heroic minstrelsy.” It would inspire him to compose, during the 1930s, his own dramatic verse-dialogue, The Homecoming of Beorhtnoth Beorhthelm’s Son, which imagines the aftermath of the great battle when two of Beorhtnoth’s retainers come to retrieve their duke’s body. Leading Tolkien scholar, Peter Grybauskas, presents for the very first time J.R.R. Tolkien’s own prose translation of The Battle of Maldon together with the definitive treatment of The Homecoming of Beorhtnoth and its accompanying essays; also included and never before published is Tolkien’s bravura lecture, “The Tradition of Versification in Old English,” a wide-ranging essay on the nature of poetic tradition. Illuminated with insightful notes and commentary, he has produced a definitive critical edition of these works, and argues compellingly that, Beowulf excepted, The Battle of Maldon may well have been “the Old English poem that most influenced Tolkien’s fiction,” most dramatically within the pages of The Lord of the Rings.";37;9.23;2006-06-23;false
East of Eden (2017);John Steinbeck;Penguin Random House;0;22.64x15.61x1.48 cm;;This sprawling and often brutal novel, set in the rich farmlands of California's Salinas Valley, follows the intertwined destinies of two families--the Trasks and the Hamiltons--whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.;24;7.83;2006-07-17;false
Joker Moon - A Wild Cards Novel (2021);George R. R. Martin;Tor Books;368;23.59x15.71x2.12 cm;;In Joker Moon, the next Wild Cards adventure from series editor George R. R. Martin, we follow Aarti, the Moon Maid, who can astrally project herself onto the surface of the moon and paint projections across the lunarscape. Theodorus was a dreamer. As a child, he dreamt of airplanes, rockets, and outer space. When the wild card virus touched him and transformed him into a monstrous snail centaur weighing several tons, his boyhood dreams seemed out of reach, but a Witherspoon is not so easily defeated. Years and decades passed, and Theodorus grew to maturity and came into his fortune . . . but still his dream endured. But now when he looked upward into the night sky, he saw more than just the moon . . . he saw a joker homeland, a refuge where the outcast children of the wild card could make a place of their own, safe from hate and harm. An impossible dream, some said. Others, alarmed by the prospect, brought all their power to bear to oppose him. Theodorus persisted . . . . . . never dreaming that the Moon was already inhabited. And the Moon Maid did not want company. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.;39;6.09;2006-07-21;false
One Piece, Vol. 91 - Adventure in the Land of Samurai (2019);Eiichiro Oda;VIZ Media LLC;213;24.19x14.97x1.92 cm;;Luffy has just landed in Wano and he’s already lost his crew! After a chance meeting with a young girl, he begins to learn more about this strange new land. But mysteries still remain. Where are his scattered teammates?! And what’s the shocking truth hiding within this country of samurai?! -- VIZ Media;44;8.75;2006-08-19;false
Happy Ending - The Fisher Brothers #4 (2018);J. Sterling;J. Sterling;0;22.83x13.71x1.90 cm;;What happens after the books we love end? New York Times Bestselling author J. Sterling takes you home with the Fisher Brothers for one last heart-racing story! Hold onto your hats and enjoy one last drink with the boys. Weddings, proposals, and babies...oh my! What happens after you've found your happily-ever-after? The Fisher boys learn that life is unpredictable and nothing is certain. Will they get to keep everything they've worked so hard to achieve, or will they lose it all? Come join the brothers for one last round at the bar and let's cheers to a happy ending! The Fisher Brothers is a series of Stand-Alone Romance Novels that do not have to be read in order to be enjoyed. Happy Ending however, should not be read before reading Adios Pantalones, unless you like ruining surprises and reading the last page of a novel first. LOL No Bad Days- Book #1 Guy Hater- Book #2 Adios Pantalones- Book #3 Happy Ending- Book #4;33;7.71;2006-09-18;false
The Great Gatsby: A Graphic Novel (2022);F. Scott Fitzgerald;Simon and Schuster;128;23.88x15.68x1.76 cm;;The enduring tale of passion, class struggle, and the American dream is now in a colorful graphic novel format. In this colorful graphic adaptation of F. Scott Fitzgerald’s classic novel, readers are drawn into a tale rich with the universal themes of passion, class struggle, and the pursuit of the American dream. At the height of the Jazz Age in the 1920s, the young millionaire Jay Gatsby hosts extravagant parties at his Long Island mansion, but his true persona is an enigma to even his next-door neighbor Nick Carraway. Illustrator Pete Katz’s stunning scenes capture all the glamour and heartache of Gatsby’s life in brilliant detail, introducing a new generation of readers to Fitzgerald’s masterpiece.;37;8.5;2006-09-22;false
Fairy Tale (2022);Stephen King;Simon and Schuster;624;24.36x15.13x1.06 cm;;A #1 New York Times Bestseller and New York Times Book Review Editors’ Choice! Legendary storyteller Stephen King goes into the deepest well of his imagination in this spellbinding novel about a seventeen-year-old boy who inherits the keys to a parallel world where good and evil are at war, and the stakes could not be higher—for that world or ours. Charlie Reade looks like a regular high school kid, great at baseball and football, a decent student. But he carries a heavy load. His mom was killed in a hit-and-run accident when he was ten, and grief drove his dad to drink. Charlie learned how to take care of himself—and his dad. When Charlie is seventeen, he meets a dog named Radar and her aging master, Howard Bowditch, a recluse in a big house at the top of a big hill, with a locked shed in the backyard. Sometimes strange sounds emerge from it. Charlie starts doing jobs for Mr. Bowditch and loses his heart to Radar. Then, when Bowditch dies, he leaves Charlie a cassette tape telling a story no one would believe. What Bowditch knows, and has kept secret all his long life, is that inside the shed is a portal to another world. Magnificent, terrifying, and “spellbinding…packed with glorious flights of imagination and characteristic tenderness about childhood, Fairy Tale is vintage King at his finest” (Esquire). “Good, evil, a kingdom to save, monsters to slay—these are the stuff that page-turners are made from.” —Laura Miller, Slate;14;6.16;2006-09-22;false
Quidditch Through the Ages - Illustrated Edition - A Magical Companion to the Harry Potter Stories (2020);J. K. Rowling;Bloomsbury Publishing;161;22.32x13.19x1.32 cm;;Get ready to learn everything you need to know about the sport at the heart of Hogwarts! Quidditch Through the Ages is the essential companion to the Harry Potter series, a funny, fact-packed fantasy history of the seriously competitive wizarding sport. Bursting with glorious illustrations, magical memorabilia and two super-sized fold-outs, this spectacular new full-colour edition pairs J.K. Rowling's witty, inventive text with Emily Gravett's incredible artistic imagination. Devoured by Harry Potter in his first year, and consulted on a daily basis by the young witches and wizards at Hogwarts, Quidditch Through the Ages whisks readers on a whistle-stop tour through the game's hilarious (and often foul) history. There's magic and wonder in equal measure for both newcomers to the Wizarding World and established Harry Potter fans. Packed with trivia, tales of on-pitch antics, and Quidditch stars past and present - this is a great gift for the whole family. Quidditch Through the Ages is published in aid of Lumos, an international children's charity founded in 2005 by J.K. Rowling, and Comic Relief.;31;9.34;2006-10-20;false
Chainsaw Man, Vol. 1 - Dog And Chainsaw (2020);Tatsuki Fujimoto;VIZ Media LLC;193;23.01x13.36x2.03 cm;Amanda Haley;Denji’s a poor young man who’ll do anything for money, even hunting down devils with his pet devil Pochita. He’s a simple man with simple dreams, drowning under a mountain of debt. But his sad life gets turned upside down one day when he’s betrayed by someone he trusts. Now with the power of a devil inside him, Denji’s become a whole new man—Chainsaw Man! -- VIZ Media;37;9.09;2006-10-20;false
Chainsaw Man, Vol. 1 (2020);Tatsuki Fujimoto;VIZ Media LLC;192;22.29x15.64x1.52 cm;Amanda Haley;Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive in a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! Denji’s a poor young man who’ll do anything for money, even hunting down devils with his pet devil-dog Pochita. He’s a simple man with simple dreams, drowning under a mountain of debt. But his sad life gets turned upside down one day when he’s betrayed by someone he trusts. Now with the power of a devil inside him, Denji’s become a whole new man—Chainsaw Man!;2;11.69;2006-10-20;false
Blue Period 1 (2020);Tsubasa Yamaguchi;Kodansha America LLC;230;24.45x15.41x2.13 cm;Ajani A. Oloye ;Yatora is the perfect high school student, with good grades and lots of friends. It’s an effortless performance, and, ultimately…a dull one. But he wanders into the art room one day, and a lone painting captures his eye, awakening him to a kind of beauty he never knew. Compelled and consumed, he dives in headfirst — and he’s about to learn how savage and unforgiving art can be!;29;8.75;2006-10-20;false
One Piece, Vol. 101 - The Stars Take The Stage (2022);Eiichiro Oda;VIZ Media LLC;196;23.57x16.51x2.47 cm;;It’s a family brawl as Kaido faces off against Yamato! But Kaido and his powerful pirates aren’t going to go down easily, even against the Straw Hats’ best fighters. The key to victory may be the peculiar ability of a young girl! -- VIZ Media;43;9.31;2006-12-22;false
"The Adventure of ""The Western Star"" (2019)";Agatha Christie;Wildside Press LLC;20;23.93x15.38x1.36 cm;;"Poirot receives a visit from Miss Mary Marvell, the famous American film star on her visit to London. She has received three letters, handed to her by a Chinese man, which warn her to return her fabulous diamond jewel, the ""Western Star"", to where it came from – the left eye of an idol – before the next full moon.";13;8.58;2007-01-19;false
One Piece, Vol. 81 - Let's Go See the Cat Viper (2017);Eiichiro Oda;VIZ Media LLC;193;23.18x13.54x2.10 cm;;The Straw Hat crew is reunited again in Zou, but this animal kingdom is already in a state of collapse when Luffy gets there. As the mystery of the events that transpired on Zou is slowly unraveled, new questions arise about Sanji’s background... -- VIZ Media;42;8.94;2007-02-17;false
Scholastic Success with Reading Comprehension Grade 1 (2022);Scholastic;Scholastic Inc.;48;23.14x14.57x1.74 cm;;More than 40 ready-to-use, skill-building practice pages with easy-to-follow directions and fun, motivating exercises! Perfect for classroom or at-home use, this exciting practice book includes high-interest stories targeted to provide invaluable reinforcement and practice with reading comprehension skills. This valuable resource gives kids practice with: main idea and details following directions drawing conclusions;18;6.31;2007-02-22;false
To Kill a Mockingbird - A Novel (2017);Harper Lee;Createspace Independent Publishing Platform;28;24.40x15.72x2.48 cm;;This book summary is created for individuals who want to flesh out the essential contents but are too busy to go through the entire book. This book is not intended to replace the original book. Despite being banned for several countries, Harper Lee's: To Kill a Mockingbird have won countless of awards as the book's charm and values shines through. It is one of the best-love stories of all time. Translated to more than 40 languages and sold for more than 30 Million worldwide. A truly remarkable tale of coming of age in South, poisoned with rampant racial prejudice and injustice. Wait no more, take action and get this book now!;15;9.47;2007-03-17;false
The Works of William Shakespeare - Vol. VII (2024);William Shakespeare;BoD – Books on Demand;774;22.09x13.12x1.29 cm;;Reprint of the original, first published in 1875.;18;10.14;2007-03-24;false
Frieren: Beyond Journey’s End, Vol. 11 (2024);Kanehito Yamada;VIZ Media LLC;0;23.51x13.92x1.48 cm;Misa “Japanese Ammo”;Frieren and her companions are separated, and despite his best efforts, Denken is unable to stop his former master Macht from casting Diagoldze, turning everyone into gold! Frieren needs more time to analyze Macht’s memories, looking for a way to reverse the spell. But the demons have always underestimated Frieren, one of the greatest mages to ever live, and Macht and Solitär would do well to not count Frieren out just yet! -- VIZ Media;11;7.07;2007-03-24;false
One Piece, Vol. 93 - The Star Of Ebisu (2020);Eiichiro Oda;VIZ Media LLC;200;22.86x14.32x1.84 cm;;Robin infiltrates the Shogun’s palace in order to collect valuable intelligence, but she’s quickly spotted by Orochi's henchmen. Can she be ninja-like and make a stealthy escape? Meanwhile, after his painful defeat by Kaido, how will Luffy escape the excavation labor camp?! -- VIZ Media;6;6.44;2007-04-20;false
Of Mice and Men - A Play (2014);John Steinbeck;Penguin Random House;178;22.90x13.31x2.47 cm;;A theatrical adaptation of one of John Steinbecks short novels.;31;11.97;2007-05-14;false
One Piece, Vol. 90 - Sacred Marijoa (2019);Eiichiro Oda;VIZ Media LLC;194;23.90x14.38x1.07 cm;;The Straw Hats' flag floats on the water... Have they fallen at last to the relentless assault of Big Mom's deadly pirates?! Or can they escape and finally make their way to the mysterious country of Wano? Meanwhile, the world's leaders assemble for the Reverie. What is the world government plotting? -- VIZ Media;8;8.72;2007-05-19;false
